11:57:59.805 [main] INFO  edu.epam.threads.main.Main - 0.0
11:59:30.854 [main] INFO  epam.threads.state.impl.WaitingState - 0.0 , {}
12:01:27.323 [main] INFO  edu.epam.threads.entity.Ferry - added to vehicles 0.0
12:01:27.327 [main] INFO  edu.epam.threads.entity.Ferry - added to vehicles 1.0
12:01:27.327 [main] INFO  edu.epam.threads.entity.Ferry - added to vehicles 2.0
12:01:27.328 [main] INFO  edu.epam.threads.entity.Ferry - added to vehicles 3.0
12:01:27.329 [main] INFO  edu.epam.threads.entity.Ferry - added to vehicles 4.0
12:01:27.329 [main] INFO  edu.epam.threads.entity.Ferry - added to vehicles 5.0
12:01:27.329 [main] INFO  edu.epam.threads.entity.Ferry - added to vehicles 6.0
12:01:27.329 [main] INFO  edu.epam.threads.entity.Ferry - added to vehicles 7.0
12:01:27.330 [main] INFO  edu.epam.threads.entity.Ferry - added to vehicles 8.0
12:01:27.330 [main] INFO  edu.epam.threads.entity.Ferry - added to vehicles 9.0
12:01:27.330 [main] INFO  edu.epam.threads.entity.Ferry - added to vehicles 10.0
12:01:27.330 [main] INFO  edu.epam.threads.entity.Ferry - added to vehicles 11.0
12:01:27.330 [main] INFO  edu.epam.threads.entity.Ferry - added to vehicles 12.0
12:01:27.330 [main] INFO  edu.epam.threads.entity.Ferry - added to vehicles 13.0
12:01:27.330 [main] INFO  edu.epam.threads.entity.Ferry - added to query 14.0
12:01:27.331 [main] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:06:18.976 [pool-1-thread-5] INFO  edu.epam.threads.entity.Ferry - added to vehicles 4.0
12:06:18.976 [pool-1-thread-14] INFO  edu.epam.threads.entity.Ferry - added to vehicles 13.0
12:06:18.976 [pool-1-thread-7] INFO  edu.epam.threads.entity.Ferry - added to vehicles 6.0
12:06:18.976 [pool-1-thread-2] INFO  edu.epam.threads.entity.Ferry - added to vehicles 1.0
12:06:18.977 [pool-1-thread-4] INFO  edu.epam.threads.entity.Ferry - added to vehicles 3.0
12:06:18.976 [pool-1-thread-1] INFO  edu.epam.threads.entity.Ferry - added to vehicles 0.0
12:06:18.976 [pool-1-thread-12] INFO  edu.epam.threads.entity.Ferry - added to vehicles 11.0
12:06:18.976 [pool-1-thread-13] INFO  edu.epam.threads.entity.Ferry - added to vehicles 12.0
12:06:18.977 [pool-1-thread-9] INFO  edu.epam.threads.entity.Ferry - added to vehicles 8.0
12:06:18.976 [pool-1-thread-6] INFO  edu.epam.threads.entity.Ferry - added to vehicles 5.0
12:06:18.977 [pool-1-thread-8] INFO  edu.epam.threads.entity.Ferry - added to vehicles 7.0
12:06:18.977 [pool-1-thread-3] INFO  edu.epam.threads.entity.Ferry - added to vehicles 2.0
12:06:18.977 [pool-1-thread-10] INFO  edu.epam.threads.entity.Ferry - added to vehicles 9.0
12:06:18.977 [pool-1-thread-15] INFO  edu.epam.threads.entity.Ferry - added to vehicles 14.0
12:07:43.818 [pool-1-thread-11] INFO  edu.epam.threads.entity.Ferry - added to vehicles 10.0, Free space 75.0
12:07:43.818 [pool-1-thread-10] INFO  edu.epam.threads.entity.Ferry - added to vehicles 9.0, Free space 66.0
12:07:43.819 [pool-1-thread-2] INFO  edu.epam.threads.entity.Ferry - added to vehicles 1.0, Free space 99.0
12:07:43.819 [pool-1-thread-9] INFO  edu.epam.threads.entity.Ferry - added to vehicles 8.0, Free space 51.0
12:07:43.818 [pool-1-thread-3] INFO  edu.epam.threads.entity.Ferry - added to vehicles 2.0, Free space 31.0
12:07:43.818 [pool-1-thread-5] INFO  edu.epam.threads.entity.Ferry - added to vehicles 4.0, Free space 36.0
12:07:43.818 [pool-1-thread-4] INFO  edu.epam.threads.entity.Ferry - added to vehicles 3.0, Free space 33.0
12:07:43.817 [pool-1-thread-15] INFO  edu.epam.threads.entity.Ferry - added to vehicles 14.0, Free space 85.0
12:07:43.818 [pool-1-thread-7] INFO  edu.epam.threads.entity.Ferry - added to vehicles 6.0, Free space 45.0
12:07:43.817 [pool-1-thread-13] INFO  edu.epam.threads.entity.Ferry - added to vehicles 12.0, Free space 18.0
12:07:43.818 [pool-1-thread-14] INFO  edu.epam.threads.entity.Ferry - added to vehicles 13.0, Free space 18.0
12:07:43.818 [pool-1-thread-12] INFO  edu.epam.threads.entity.Ferry - added to vehicles 11.0, Free space 40.0
12:07:43.818 [pool-1-thread-8] INFO  edu.epam.threads.entity.Ferry - added to vehicles 7.0, Free space 51.0
12:07:43.817 [pool-1-thread-6] INFO  edu.epam.threads.entity.Ferry - added to vehicles 5.0, Free space 40.0
12:09:13.346 [pool-1-thread-15] INFO  edu.epam.threads.entity.Ferry - added to vehicles 14.0, Free space 57.0
12:09:13.345 [pool-1-thread-27] INFO  edu.epam.threads.entity.Ferry - added to query 26.0
12:09:13.344 [pool-1-thread-25] INFO  edu.epam.threads.entity.Ferry - added to vehicles 24.0, Free space 5.0
12:09:13.344 [pool-1-thread-29] INFO  edu.epam.threads.entity.Ferry - added to vehicles 28.0, Free space 29.0
12:09:13.346 [pool-1-thread-3] INFO  edu.epam.threads.entity.Ferry - added to vehicles 2.0, Free space 2.0
12:09:13.344 [pool-1-thread-1] INFO  edu.epam.threads.entity.Ferry - added to vehicles 0.0, Free space 57.0
12:09:13.346 [pool-1-thread-7] INFO  edu.epam.threads.entity.Ferry - added to query 6.0
12:09:13.346 [pool-1-thread-20] INFO  edu.epam.threads.entity.Ferry - added to query 19.0
12:09:13.344 [pool-1-thread-2] INFO  edu.epam.threads.entity.Ferry - added to vehicles 1.0, Free space 4.0
12:09:13.346 [pool-1-thread-9] INFO  edu.epam.threads.entity.Ferry - added to query 8.0
12:09:13.346 [pool-1-thread-11] INFO  edu.epam.threads.entity.Ferry - added to query 10.0
12:09:13.346 [pool-1-thread-21] INFO  edu.epam.threads.entity.Ferry - added to query 20.0
12:09:13.345 [pool-1-thread-17] INFO  edu.epam.threads.entity.Ferry - added to query 16.0
12:09:13.344 [pool-1-thread-4] INFO  edu.epam.threads.entity.Ferry - added to query 3.0
12:09:13.346 [pool-1-thread-18] INFO  edu.epam.threads.entity.Ferry - added to query 17.0
12:09:13.346 [pool-1-thread-8] INFO  edu.epam.threads.entity.Ferry - added to query 7.0
12:09:13.346 [pool-1-thread-24] INFO  edu.epam.threads.entity.Ferry - added to query 23.0
12:09:13.344 [pool-1-thread-12] INFO  edu.epam.threads.entity.Ferry - added to query 11.0
12:09:13.362 [pool-1-thread-24] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.362 [pool-1-thread-11] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.346 [pool-1-thread-19] INFO  edu.epam.threads.entity.Ferry - added to query 18.0
12:09:13.362 [pool-1-thread-4] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.362 [pool-1-thread-17] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.362 [pool-1-thread-21] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.345 [pool-1-thread-13] INFO  edu.epam.threads.entity.Ferry - added to query 12.0
12:09:13.362 [pool-1-thread-19] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.362 [pool-1-thread-27] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.345 [pool-1-thread-5] INFO  edu.epam.threads.entity.Ferry - added to query 4.0
12:09:13.345 [pool-1-thread-6] INFO  edu.epam.threads.entity.Ferry - added to query 5.0
12:09:13.344 [pool-1-thread-16] INFO  edu.epam.threads.entity.Ferry - added to query 15.0
12:09:13.346 [pool-1-thread-28] INFO  edu.epam.threads.entity.Ferry - added to query 27.0
12:09:13.362 [pool-1-thread-5] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.345 [pool-1-thread-30] INFO  edu.epam.threads.entity.Ferry - added to vehicles 29.0, Free space 57.0
12:09:13.346 [pool-1-thread-23] INFO  edu.epam.threads.entity.Ferry - added to query 22.0
12:09:13.362 [pool-1-thread-16] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.346 [pool-1-thread-26] INFO  edu.epam.threads.entity.Ferry - added to query 25.0
12:09:13.346 [pool-1-thread-14] INFO  edu.epam.threads.entity.Ferry - added to query 13.0
12:09:13.362 [pool-1-thread-12] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.362 [pool-1-thread-26] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.362 [pool-1-thread-6] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.362 [pool-1-thread-8] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
12:09:13.362 [pool-1-thread-18] INFO  edu.epam.threads.entity.Ferry - State changed class edu.epam.threads.state.impl.ReadyState
